y_actual,y_pred,y_prob,top_3_features
0,0,0.0062895925,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.003597012,"['Status_Scores', 'Current_World_Pay_Token', 'Auto_Renewal_Score']"
0,0,0.0016355664,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0033116166,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.00016775925,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
1,1,0.6867778,"['Status_Scores', 'Payment_Timeframe', 'stage_high_risk_flag']"
0,1,0.7851732,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0036268719,"['Status_Scores', 'Sustainability_Score', 'Current_Anchorings']"
1,1,0.99398226,"['Total_Net_Paid', 'Status_Scores', 'Tenure_Years']"
0,0,0.013326734,"['Tenure_Years', 'Total_Net_Paid', 'Status_Scores']"
0,0,0.00036824174,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.016928947,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.006502646,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
1,1,0.9441678,"['Status_Scores', 'stage_high_risk_flag', 'Renewal_Score_At_Release']"
0,0,0.006348095,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.013998702,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.0015531539,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.027838323,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
1,1,0.9980179,"['Discount_Amount', 'Status_Scores', 'Payment_Timeframe']"
1,1,0.99994767,"['Tenure_Years', 'Total_Net_Paid', 'Band_Band B']"
0,0,0.0043835267,"['Tenure_Years', 'Status_Scores', 'Total_Net_Paid']"
1,1,0.99677736,"['Total_Net_Paid', 'Status_Scores', 'Tenure_Years']"
0,0,0.026259908,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.006931171,"['Status_Scores', 'Tenure_Years', 'Total_Net_Paid']"
0,1,0.105821595,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.012384864,"['Status_Scores', 'Tenure_Years', 'Renewal_Score_At_Release']"
0,0,0.008926427,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.0049310597,"['Sustainability_Score', 'Status_Scores', 'Current_World_Pay_Token']"
0,0,0.0019418214,"['Status_Scores', 'Payment_Timeframe', 'Current_Anchorings']"
0,1,0.10070931,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,1,0.16113463,"['Status_Scores', 'Payment_Timeframe', 'Sustainability_Score']"
0,0,0.04094792,"['Status_Scores', 'Renewal_Score_At_Release', 'Sustainability_Score']"
0,0,0.030320184,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.003437607,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
1,1,0.9999032,"['Total_Net_Paid', 'Band_Band B', 'Status_Scores']"
0,1,0.5934336,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
